Funding Org: Identifier,Funding Org: Name,Recipient Org:Identifier,Recipient Org: Name,Identifier,Recipient Org: Street Address,Recipient Org: City,Recipient Org: State,Recipient Org: Postal Code,Recipient Org: Country, Amount Awarded ,Currency,Award Date,Fiscal Year,Description,Classifications: Title,Beneficiary Location: Name,Title,Fiscal Sponsor,URL,Grant-related Publications,Last Modified
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuG5,Midwest Environmental Advocates,360G-quixote-0064000000DRYSfAAP:2003,"551 W. Main Street, Suite 200",Madison,WI,53703,United States," 45,000.00 ",USD,22/10/2003,2003,"General Operating Support for MEA, a nonprofit environmental law center that works for healthy water, air, land and government for this generation and the next",Environmental Protection,U.S. Midwest,Midwest Environmental Advocates 2003-2005 Grant,,http://www.midwestadvocates.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuG5,Midwest Environmental Advocates,360G-quixote-0064000000DRYSgAAP:2003,"551 W. Main Street, Suite 200",Madison,WI,53703,United States," 30,000.00 ",USD,12/03/2001,2003,"General Operating Support for MEA, a nonprofit environmental law center that works for healthy water, air, land and government for this generation and the next",Environmental Protection,U.S. Midwest,Midwest Environmental Advocates 2001-2003 Grant,,http://www.midwestadvocates.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuG5,Midwest Environmental Advocates,360G-quixote-0064000000DRYSfAAP:2004,"551 W. Main Street, Suite 200",Madison,WI,53703,United States," 45,000.00 ",USD,22/10/2003,2004,"General Operating Support for MEA, a nonprofit environmental law center that works for healthy water, air, land and government for this generation and the next",Environmental Protection,U.S. Midwest,Midwest Environmental Advocates 2003-2005 Grant,,http://www.midwestadvocates.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuG5,Midwest Environmental Advocates,360G-quixote-0064000000DRYSfAAP:2005,"551 W. Main Street, Suite 200",Madison,WI,53703,United States," 45,000.00 ",USD,22/10/2003,2005,"General Operating Support for MEA, a nonprofit environmental law center that works for healthy water, air, land and government for this generation and the next",Environmental Protection,U.S. Midwest,Midwest Environmental Advocates 2003-2005 Grant,,http://www.midwestadvocates.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuG5,Midwest Environmental Advocates,360G-quixote-0064000000CWCnEAAX:2006,"551 W. Main Street, Suite 200",Madison,WI,53703,United States," 25,000.00 ",USD,04/05/2006,2006,"General Operating Support for MEA, a nonprofit environmental law center that works for healthy water, air, land and government for this generation and the next",Environmental Protection,U.S. Midwest,Midwest Environmental Advocates 2006-2008 Grant,,http://www.midwestadvocates.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuG5,Midwest Environmental Advocates,360G-quixote-0064000000CWCnEAAX:2007,"551 W. Main Street, Suite 200",Madison,WI,53703,United States," 25,000.00 ",USD,04/05/2006,2007,"General Operating Support for MEA, a nonprofit environmental law center that works for healthy water, air, land and government for this generation and the next",Environmental Protection,U.S. Midwest,Midwest Environmental Advocates 2006-2008 Grant,,http://www.midwestadvocates.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuG5,Midwest Environmental Advocates,360G-quixote-0064000000CWCnEAAX:2008,"551 W. Main Street, Suite 200",Madison,WI,53703,United States," 25,000.00 ",USD,04/05/2006,2008,"General Operating Support for MEA, a nonprofit environmental law center that works for healthy water, air, land and government for this generation and the next",Environmental Protection,U.S. Midwest,Midwest Environmental Advocates 2006-2008 Grant,,http://www.midwestadvocates.org,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWClCAAX,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 10,000.00 ",USD,07/11/2006,2006,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones Grant 11/7/2006,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWCmLAAX,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,03/05/2006,2006,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones Grant 5/3/2006,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWClEAAX:2007,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,19/12/2006,2007,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2007-2008 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWClHAAX,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 5,000.00 ",USD,26/01/2007,2007,Project Support for Mother Jones investigative journalism - 30th Anniversary,"Media Reform, Independent Media",U.S.,Mother Jones 1/26/2007,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWClJAAX:2007,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,17/03/2007,2007,Project Support for Mother Jones Venture Fund,"Media Reform, Independent Media",U.S.,Mother Jones 2007-2009 Multi-Year Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
